Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
19:06,,,Michael Devoe,N/A,N/A, Michael Devoe misses regular free throw 2 of 2
19:06,,,DJ Steward,N/A,N/A,DJ Steward defensive rebound 
18:42,,steal,Jeremy Roach,Michael Devoe,N/A,Jeremy Roach turnover (lost ball) (Michael Devoe steals) 
18:37,,steal,Matthew Hurt,Jose Alvarado,N/A, Jose Alvarado turnover (bad pass) (Matthew Hurt steals)
18:28,,,DJ Steward,N/A,N/A,DJ Steward misses three point jump shot 
18:26,,,Michael Devoe,N/A,N/A, Michael Devoe defensive rebound
18:10,36-35,,Moses Wright,Michael Devoe,N/A, Michael Devoe makes three point jump shot (Moses Wright assists)
17:43,39-35,,Wendell Moore,Jeremy Roach,N/A,Jeremy Roach makes three point jump shot (Wendell Moore Jr. assists) 
17:27,39-38,,Moses Wright,Jordan Usher,N/A, Jordan Usher makes three point jump shot (Moses Wright assists)
16:53,,,DJ Steward,Jose Alvarado,N/A, Jose Alvarado shooting foul (DJ Steward draws the foul)
16:52,40-38,,DJ Steward,N/A,N/A,DJ Steward makes regular free throw 1 of 3 
16:52,41-38,,DJ Steward,N/A,N/A,DJ Steward makes regular free throw 2 of 3 
16:52,42-38,,DJ Steward,N/A,N/A,DJ Steward makes regular free throw 3 of 3 
16:39,,,Michael Devoe,N/A,N/A, Michael Devoe misses two point jump shot
16:37,,,Moses Wright,N/A,N/A, Moses Wright offensive rebound
16:33,42-40,,Moses Wright,N/A,N/A, Moses Wright makes two point putback layup
16:06,44-40,,Mark Williams,Jordan Goldwire,N/A,Mark Williams makes two point alley-oop dunk (Jordan Goldwire assists) 
15:47,44-42,,Michael Devoe,N/A,N/A, Michael Devoe makes two point driving layup
15:47,,timeout,N/A,N/A,N/A,TV timeout 
15:40,,,Jordan Goldwire,N/A,N/A,Jordan Goldwire misses three point jump shot 
15:38,,,Jordan Usher,N/A,N/A, Jordan Usher defensive rebound
15:30,,,Jordan Usher,N/A,N/A, Jordan Usher misses two point jump shot
15:28,,,Matthew Hurt,N/A,N/A,Matthew Hurt defensive rebound 
15:20,,,Jeremy Roach,N/A,N/A,Jeremy Roach misses three point jump shot 
15:18,,,Jose Alvarado,N/A,N/A, Jose Alvarado defensive rebound
15:09,,steal,Wendell Moore,Jordan Usher,N/A, Jordan Usher turnover (lost ball) (Wendell Moore Jr. steals)
15:04,46-42,,Wendell Moore,N/A,N/A,Wendell Moore Jr. makes two point dunk 
14:36,46-44,,Moses Wright,Jordan Usher,N/A, Jordan Usher makes two point driving layup (Moses Wright assists)
14:15,,,N/A,N/A,N/A,Jump ball.  (Blue Devils gains possession) 
14:05,,block,Wendell Moore,Michael Devoe,N/A,Michael Devoe blocks Wendell Moore Jr.'s two point layup 
14:03,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. offensive rebound 
14:02,,timeout,N/A,N/A,N/A,Blue Devils 30 second timeout 
14:00,,,Wendell Moore,N/A,N/A,Wendell Moore Jr. misses three point jump shot 
13:58,,,N/A,N/A,N/A,Blue Devils offensive rebound 
13:58,,turnover,N/A,N/A,N/A,Blue Devils turnover (shot clock violation) 
13:39,,steal,Mark Williams,Moses Wright,N/A, Moses Wright turnover (lost ball) (Mark Williams steals)
13:39,,,DJ Steward,Bubba Parham,N/A, Bubba Parham personal foul (DJ Steward draws the foul)
13:26,48-44,,Mark Williams,Jordan Goldwire,N/A,Mark Williams makes two point dunk (Jordan Goldwire assists) 
13:00,,,Michael Devoe,N/A,N/A, Michael Devoe misses two point layup
12:58,,,Moses Wright,N/A,N/A, Moses Wright offensive rebound
12:54,48-46,,Moses Wright,N/A,N/A, Moses Wright makes two point putback dunk
12:49,,steal,Jordan Goldwire,Jose Alvarado,N/A,Jordan Goldwire turnover (bad pass) (Jose Alvarado steals) 
12:42,48-48,,Jose Alvarado,N/A,N/A, Jose Alvarado makes two point driving layup
12:12,50-48,,Matthew Hurt,N/A,N/A,Matthew Hurt makes two point jump shot 
11:52,,,Jose Alvarado,N/A,N/A, Jose Alvarado misses two point jump shot
11:50,,,Jordan Goldwire,N/A,N/A,Jordan Goldwire defensive rebound 
