Time Left,Score,Play Type,Player 1 Involved,Player 2 Involved,Player 3 involved,Play Result
17:43,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
17:29,37-32,Layup,,,,"Layup GOOD by SBU's Sarvan, Kenan "
17:29,,Assist,,,,"SBU Assist by Onyekonwu, Toby "
17:16,37-34,Jumper,,,," Jumper GOOD by NCA&T's Horton, Demetric"
16:57,40-34,3 Pointer,,,,"3 Pointer GOOD by SBU's Pettway, Tanahj "
16:57,,Assist,,,,"SBU Assist by Onyekonwu, Toby "
16:53,,time out,,,, NCA&T takes a 30-second time out.
16:53,,timeout,,,,Media timeout 
16:53,,Subbing out,,,," Subbing out for NCA&T - Woods, Kam "
16:53,,Subbing in,,,," Subbing in for NCA&T - Bettis, Love"
16:35,,Foul,,,,"Foul on SBU's Sarvan, Kenan "
16:31,,Foul,,,,"Foul on SBU's Stephenson-moore, Tyler "
16:26,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Bettis, Love"
16:23,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Stephenson-moore, Tyler "
16:07,43-34,3 Pointer,,,,"3 Pointer GOOD by SBU's Policelli, Frankie "
15:49,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Watson, Marcus"
15:47,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
15:33,,3 Pointer,,,,"3 Pointer MISSED by SBU's Pettway, Tanahj "
15:29,,Defensive REBOUND,,,, NCA&T Defensive REBOUND by team
15:29,,timeout,,,,Media timeout 
15:29,,Subbing out,,,," Subbing out for NCA&T - Watson, Marcus"
15:29,,Subbing in,,,," Subbing in for NCA&T - Elliott, Tyrese"
15:29,,Subbing out,,,,"Subbing out for SBU - Sarvan, Kenan "
15:29,,Subbing in,,,,"Subbing in for SBU - Fitzmorris, Keenan "
15:17,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Elliott, Tyrese"
15:14,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Bettis, Love"
15:04,,Foul,,,,"Foul on SBU's Stephenson-moore, Tyler "
14:45,43-36,Layup,,,," Layup GOOD by NCA&T's Elliott, Tyrese"
14:28,,Foul,,,," Foul on NCA&T's Elliott, Tyrese"
14:16,,Foul,,,," Foul on NCA&T's Horton, Demetric"
14:16,44-36,Free Throw,,,,"Free Throw GOOD by SBU's Stephenson-moore, Tyler "
14:16,45-36,Free Throw,,,,"Free Throw GOOD by SBU's Stephenson-moore, Tyler "
14:03,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Horton, Demetric"
14:00,,Defensive REBOUND,,,,SBU Defensive REBOUND by team 
13:45,,Turnover,,,,"SBU Turnover by Policelli, Frankie "
13:29,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Powell, Duncan"
13:27,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Elliott, Tyrese"
13:26,45-38,Layup,,,," Layup GOOD by NCA&T's Elliott, Tyrese"
13:02,48-38,3 Pointer,,,,"3 Pointer GOOD by SBU's Policelli, Frankie "
13:02,,Assist,,,,"SBU Assist by Onyekonwu, Toby "
12:43,,Jumper MISSED,,,," Jumper MISSED by NCA&T's Elliott, Tyrese"
12:40,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Onyekonwu, Toby "
12:15,,Turnover,,,,"SBU Turnover by Stephenson-moore, Tyler "
12:15,,Turnover,,,," NCA&T Steal by Horton, Demetric"
12:10,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Horton, Demetric"
12:06,,Offensive REBOUND,,,," NCA&T Offensive REBOUND by Bettis, Love"
12:05,,Layup MISSED,,,," Layup MISSED by NCA&T's Bettis, Love"
12:03,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
11:45,,Foul,,,," Foul on NCA&T's Bettis, Love"
11:45,,timeout,,,,Media timeout 
11:45,,Subbing out,,,," Subbing out for NCA&T - Bettis, Love"
11:45,,Subbing in,,,," Subbing in for NCA&T - Woods, Kam "
11:45,,Subbing out,,,,"Subbing out for SBU - Onyekonwu, Toby "
11:45,,Subbing out,,,,"Subbing out for SBU - Fitzmorris, Keenan "
11:45,,Subbing in,,,,"Subbing in for SBU - Roberts, Kaine "
11:45,,Subbing in,,,,"Subbing in for SBU - Sarvan, Kenan "
11:42,51-38,3 Pointer,,,,"3 Pointer GOOD by SBU's Policelli, Frankie "
11:42,,Assist,,,,"SBU Assist by Stephenson-moore, Tyler "
11:27,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Woods, Kam "
11:24,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Policelli, Frankie "
11:12,,Subbing out,,,," Subbing out for NCA&T - Powell, Duncan"
11:12,,Subbing in,,,," Subbing in for NCA&T - Watson, Marcus"
11:12,,Subbing out,,,,"Subbing out for SBU - Roberts, Kaine "
11:12,,Subbing in,,,,"Subbing in for SBU - Onyekonwu, Toby "
10:56,,Layup MISSED,,,,"Layup MISSED by SBU's Stephenson-moore, Tyler "
10:56,,Layup MISSED,,,," NCA&T Block by Johnson, Austin"
10:52,,Defensive REBOUND,,,," NCA&T Defensive REBOUND by Johnson, Austin"
10:47,,Foul,,,,"Foul on SBU's Sarvan, Kenan "
10:47,51-39,Free Throw,,,," Free Throw GOOD by NCA&T's Watson, Marcus"
10:47,51-40,Free Throw,,,," Free Throw GOOD by NCA&T's Watson, Marcus"
10:47,,time out,,,,SBU takes a 30-second time out. 
10:46,,Turnover,,,,"SBU Turnover by Pettway, Tanahj "
10:35,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Horton, Demetric"
10:32,,Defensive REBOUND,,,,"SBU Defensive REBOUND by Stephenson-moore, Tyler "
10:14,54-40,3 Pointer,,,,"3 Pointer GOOD by SBU's Onyekonwu, Toby "
10:14,,Assist,,,,"SBU Assist by Sarvan, Kenan "
09:58,,3 Pointer,,,," 3 Pointer MISSED by NCA&T's Watson, Marcus"
09:55,,3 Pointer,,,,SBU gets a REBOUND from a dead ball. 
09:46,56-40,Slam Dunk,,,,"Slam Dunk GOOD by SBU's Stephenson-moore, Tyler "
09:33,,Foul,,,," Foul on NCA&T's Watson, Marcus"
09:33,,Turnover,,,," NCA&T Turnover by Watson, Marcus"
09:33,,Subbing out,,,," Subbing out for NCA&T - Watson, Marcus"
09:33,,Subbing in,,,," Subbing in for NCA&T - Bettis, Love"
09:22,,Turnover,,,,SBU Turnover by team 
